Gene,pvalue
WBGene00020254,0.01
WBGene00013478,0.01
WBGene00007454,0.01
WBGene00021781,0.01
WBGene00044270,0.01
WBGene00009301,0.01
WBGene00015786,0.01
WBGene00015615,0.01
WBGene00012074,0.01
WBGene00086556,0.01
WBGene00008072,0.01
WBGene00011053,0.01
WBGene00013524,0.01
WBGene00006394,0.01
WBGene00008079,0.01
WBGene00014183,0.01
WBGene00015030,0.01
WBGene00020526,0.01
WBGene00009830,0.01
WBGene00220250,0.01
WBGene00014202,0.01
WBGene00001186,0.01
WBGene00014103,0.01
WBGene00017584,0.01
WBGene00014048,0.01
WBGene00009079,0.01
WBGene00008272,0.01
WBGene00013602,0.01
WBGene00011379,0.01
WBGene00019257,0.01
WBGene00008634,0.01
WBGene00011789,0.01
WBGene00013424,0.01
WBGene00010221,0.01
WBGene00018580,0.01
WBGene00016398,0.01
WBGene00008994,0.01
WBGene00021035,0.01
WBGene00013388,0.01
WBGene00001245,0.01
WBGene00020864,0.01
WBGene00007461,0.01
WBGene00009701,0.01
WBGene00010871,0.01
WBGene00011484,0.01
WBGene00019811,0.01
WBGene00001695,0.01
WBGene00018127,0.01
WBGene00013198,0.01
WBGene00013310,0.01
WBGene00008861,0.01
WBGene00013215,0.01
WBGene00011467,0.01
WBGene00018802,0.01
WBGene00044229,0.01
WBGene00017554,0.01
WBGene00011670,0.01
WBGene00009104,0.01
WBGene00018646,0.01
WBGene00022327,0.01
WBGene00014854,0.01
WBGene00017986,0.01
WBGene00012684,0.01
WBGene00020141,0.01
WBGene00019394,0.01
WBGene00015628,0.01
WBGene00009852,0.01
WBGene00009577,0.01
WBGene00011027,0.01
WBGene00012299,0.01
WBGene00013662,0.01
WBGene00010989,0.01
WBGene00018375,0.01
WBGene00001685,0.01
WBGene00021658,0.01
WBGene00000799,0.01
WBGene00020841,0.01
WBGene00001553,0.01
WBGene00020156,0.01
WBGene00015855,0.01
WBGene00012020,0.01
WBGene00020914,0.01
WBGene00004906,0.01
WBGene00011063,0.01
WBGene00010516,0.01
WBGene00019846,0.01
WBGene00014166,0.01
WBGene00009416,0.01
WBGene00017941,0.01
WBGene00019425,0.01
WBGene00002211,0.01
WBGene00018267,0.01
WBGene00013053,0.01
WBGene00022813,0.01
WBGene00008460,0.01
WBGene00002124,0.01
WBGene00007688,0.01
WBGene00010147,0.01
WBGene00001414,0.01
WBGene00011200,0.01
WBGene00010189,0.01
WBGene00016337,0.01
WBGene00010185,0.01
WBGene00013330,0.01
WBGene00011320,0.01
WBGene00015516,0.01
WBGene00017658,0.01
WBGene00022228,0.01
WBGene00004958,0.01
WBGene00007987,0.01
WBGene00005291,0.01
WBGene00008282,0.01
WBGene00017441,0.01
WBGene00077781,0.01
WBGene00044035,0.01
WBGene00012514,0.01
WBGene00012979,0.01
WBGene00003958,0.01
WBGene00016212,0.01
WBGene00012886,0.01
WBGene00000281,0.01
WBGene00017678,0.01
WBGene00009531,0.01
WBGene00010137,0.01
WBGene00018261,0.01
WBGene00008440,0.01
WBGene00016462,0.01
WBGene00017635,0.01
WBGene00008661,0.01
WBGene00020802,0.01
WBGene00045247,0.01
WBGene00018783,0.01
WBGene00010690,0.01
WBGene00009995,0.01
WBGene00011683,0.01
WBGene00013875,0.01
WBGene00011293,0.01
WBGene00022628,0.01
WBGene00022732,0.01
WBGene00017626,0.01
WBGene00012535,0.01
WBGene00006645,0.01
WBGene00000219,0.01
WBGene00015676,0.01
WBGene00007489,0.01
WBGene00000913,0.01
WBGene00013785,0.01
WBGene00013947,0.01
WBGene00020293,0.01
WBGene00015634,0.01
WBGene00007559,0.01
WBGene00021819,0.01
WBGene00011290,0.01
WBGene00010116,0.01
WBGene00010609,0.01
WBGene00010167,0.01
WBGene00009237,0.01
WBGene00001160,0.01
WBGene00016600,0.01
WBGene00009186,0.01
WBGene00007948,0.01
WBGene00008383,0.01
WBGene00016010,0.01
WBGene00008821,0.01
WBGene00022530,0.01
WBGene00044502,0.01
WBGene00021249,0.01
WBGene00006058,0.01
WBGene00008080,0.01
WBGene00011614,0.01
WBGene00018755,0.01
WBGene00003233,0.01
WBGene00010320,0.01
WBGene00008350,0.01
WBGene00019322,0.01
WBGene00008192,0.01
WBGene00004020,0.01
WBGene00023423,0.01
WBGene00001684,0.01
WBGene00008333,0.01
WBGene00018996,0.01
WBGene00019949,0.01
WBGene00007323,0.01
WBGene00006804,0.01
WBGene00011352,0.01
WBGene00009238,0.01
WBGene00004246,0.01
WBGene00000283,0.01
WBGene00008127,0.01
WBGene00012720,0.01
WBGene00001647,0.01
WBGene00016800,0.01
WBGene00019216,0.01
WBGene00012201,0.01
WBGene00050946,0.01
WBGene00006562,0.01
WBGene00019895,0.01
WBGene00016356,0.01
WBGene00007153,0.01
WBGene00009296,0.01
WBGene00017975,0.01
WBGene00019586,0.01
WBGene00011910,0.01
WBGene00018903,0.01
WBGene00006449,0.01
WBGene00017213,0.01
WBGene00020386,0.01
WBGene00019782,0.01
WBGene00015693,0.01
WBGene00018498,0.01
WBGene00022037,0.01
WBGene00003184,0.01
WBGene00011793,0.01
WBGene00006979,0.01
WBGene00011474,0.01
WBGene00012512,0.01
WBGene00021650,0.01
WBGene00019643,0.01
WBGene00015141,0.01
WBGene00012085,0.01
WBGene00044073,0.01
WBGene00010289,0.01
WBGene00022876,0.01
WBGene00010541,0.01
WBGene00006588,0.01
WBGene00009192,0.01
WBGene00013862,0.01
WBGene00014136,0.01
WBGene00014032,0.01
WBGene00006623,0.01
WBGene00021186,0.01
WBGene00008462,0.01
WBGene00016415,0.01
WBGene00008743,0.01
WBGene00011190,0.01
WBGene00000391,0.01
WBGene00045036,0.01
WBGene00000762,0.01
WBGene00007415,0.01
WBGene00011777,0.01
WBGene00011792,0.01
WBGene00013963,0.01
WBGene00021858,0.01
WBGene00006510,0.01
WBGene00012231,0.01
WBGene00012431,0.01
WBGene00012728,0.01
WBGene00000539,0.01
WBGene00019164,0.01
WBGene00007862,0.01
WBGene00003395,0.01
WBGene00001623,0.01
WBGene00023477,0.01
WBGene00011501,0.01
WBGene00013449,0.01
WBGene00017934,0.01
WBGene00006212,0.01
WBGene00010247,0.01
WBGene00006683,0.01
WBGene00003986,0.01
WBGene00000138,0.01
WBGene00008895,0.01
WBGene00045331,0.01
WBGene00009239,0.01
WBGene00005655,0.01
WBGene00022076,0.01
WBGene00000866,0.01
WBGene00004747,0.01
WBGene00003704,0.01
WBGene00007753,0.01
WBGene00044777,0.01
WBGene00015306,0.01
WBGene00016945,0.01
WBGene00016943,0.01
WBGene00010119,0.01
WBGene00044455,0.01
WBGene00008494,0.01
WBGene00011820,0.01
WBGene00021110,0.01
WBGene00015200,0.01
WBGene00003684,0.01
WBGene00019229,0.01
WBGene00007150,0.01
WBGene00004392,0.01
WBGene00016614,0.01
WBGene00013266,0.01
WBGene00007512,0.01
WBGene00012753,0.01
WBGene00002257,0.01
WBGene00015362,0.01
WBGene00003828,0.01
WBGene00018135,0.01
WBGene00021089,0.01
WBGene00015965,0.01
WBGene00009857,0.01
WBGene00000771,0.01
WBGene00016178,0.01
WBGene00009605,0.01
WBGene00017969,0.01
WBGene00006609,0.01
WBGene00010542,0.01
WBGene00000781,0.01
WBGene00189952,0.01
WBGene00003633,0.01
WBGene00005092,0.01
WBGene00018491,0.01
WBGene00019153,0.01
WBGene00011800,0.01
WBGene00013101,0.01
WBGene00011289,0.01
WBGene00009877,0.01
WBGene00006637,0.01
WBGene00011489,0.01
WBGene00017621,0.01
WBGene00019572,0.01
WBGene00017306,0.01
WBGene00012225,0.01
WBGene00014997,0.01
WBGene00008023,0.01
WBGene00014954,0.01
WBGene00002262,0.01
WBGene00008897,0.01
WBGene00000057,0.01
WBGene00000136,0.01
WBGene00009008,0.01
WBGene00015505,0.01
WBGene00008212,0.01
WBGene00014300,0.01
WBGene00003562,0.01
WBGene00013805,0.01
WBGene00021298,0.01
WBGene00021485,0.01
WBGene00016325,0.01
WBGene00019203,0.01
WBGene00007969,0.01
WBGene00006349,0.01
WBGene00000156,0.01
WBGene00019719,0.01
WBGene00007945,0.01
WBGene00010925,0.01
WBGene00016663,0.01
WBGene00016953,0.01
WBGene00019732,0.01
WBGene00015189,0.01
WBGene00010554,0.01
WBGene00010856,0.01
WBGene00022573,0.01
WBGene00007573,0.01
WBGene00015080,0.01
WBGene00020696,0.01
WBGene00009450,0.01
WBGene00019595,0.01
WBGene00009413,0.01
WBGene00007991,0.01
WBGene00018689,0.01
WBGene00012702,0.01
WBGene00010834,0.01
WBGene00016573,0.01
WBGene00020256,0.01
WBGene00021797,0.01
WBGene00009404,0.01
WBGene00010884,0.01
WBGene00021156,0.01
WBGene00012717,0.01
WBGene00001470,0.01
WBGene00015307,0.01
WBGene00004391,0.01
WBGene00000971,0.01
WBGene00006977,0.01
WBGene00015391,0.01
WBGene00044457,0.01
WBGene00003546,0.01
WBGene00003183,0.01
WBGene00014955,0.01
WBGene00008594,0.01
WBGene00022130,0.01
WBGene00020865,0.01
WBGene00003603,0.01
WBGene00077504,0.01
WBGene00006601,0.01
WBGene00019546,0.01
WBGene00007363,0.01
WBGene00013440,0.01
WBGene00077543,0.01
WBGene00017696,0.01
WBGene00019731,0.01
WBGene00009483,0.01
WBGene00016407,0.01
WBGene00013935,0.01
WBGene00019215,0.01
WBGene00019001,0.01
WBGene00016378,0.01
WBGene00045272,0.01
WBGene00017861,0.01
WBGene00010666,0.01
WBGene00019132,0.01
WBGene00016883,0.01
WBGene00016942,0.01
WBGene00004721,0.01
WBGene00013208,0.01
WBGene00008375,0.01
WBGene00019744,0.01
WBGene00019656,0.01
WBGene00021518,0.01
WBGene00015802,0.01
WBGene00010553,0.01
WBGene00017780,0.01
WBGene00010213,0.01
WBGene00014213,0.01
WBGene00015028,0.01
WBGene00015353,0.01
WBGene00019090,0.01
WBGene00011374,0.01
WBGene00008407,0.01
WBGene00011884,0.01
WBGene00001653,0.01
WBGene00009394,0.01
