Gene,logFC,logCPM,LR,pvalue,padj
WBGene00008950,-0.923387173957335,4.76103438247663,47.930858510972,4.4151757904878e-12,3.5126063762571603e-10
WBGene00016027,-0.922683060384644,6.47193374699903,20.1797879537683,7.0493862940608e-6,1.1521011928353e-4
WBGene00011352,0.922494949201951,6.26625812573678,12.9941312863279,3.1246878472784e-4,0.00314017363506783
WBGene00009238,-0.921462915056735,1.09895648087579,14.0208044125334,1.8079912247708e-4,0.00196297257144607
WBGene00004246,0.920954174838652,3.00679471681432,10.743888891643,0.00104624239122242,0.00868958903510734
WBGene00000283,-0.920649379758614,5.31547670985829,45.7541716580159,1.3406354481406099e-11,9.50774492042726e-10
WBGene00015473,0.920045484762684,-0.685410663896543,4.15981879775393,0.0413938321238125,0.163559486619377
WBGene00219955,-0.919888244795169,-2.15196371415918,3.86557284851608,0.0492863661442062,0.183716540468089
WBGene00008178,0.919580244939011,0.307098857133124,11.8327452996929,5.8198126115072e-4,0.00533547790488987
WBGene00015994,-0.919284951576224,4.264628341016,39.6096749449447,3.10143004831662e-10,1.61103695583809e-8
WBGene00008127,0.917504882236116,2.86936951776342,24.4515569059184,7.620190836286e-7,1.6335373856173e-5
WBGene00004893,0.917156387417699,2.4559860267825,20.7146708430173,5.3306021152351e-6,9.04682163078492e-5
WBGene00012720,-0.917061515931623,3.30994740590576,30.9763152476779,2.61196471569117e-8,8.33362868205662e-7
WBGene00010300,-0.916720408163608,3.55401208269859,30.3305518822563,3.64341704689429e-8,1.12444804575796e-6
WBGene00008153,-0.916441305950754,2.38070228334857,27.198826589604,1.83570053370576e-7,4.65289180264391e-6
WBGene00000609,-0.916094835145985,10.1913846641412,3.85407044398903,0.0496254182862533,0.184724471546381
WBGene00017580,-0.916059193810711,0.767492840695094,13.6525654691918,2.199406077369e-4,0.00232286810833243
WBGene00001647,0.914254987193829,5.23333857101411,14.1554542243451,1.6830845516922e-4,0.00184667092595496
WBGene00016800,-0.913707759976234,4.75416646910211,34.0488322150401,5.374615487072351e-9,2.03499445309275e-7
WBGene00011493,-0.913577741356608,4.72354145784876,46.4067593604712,9.60834835192984e-12,6.976884247588311e-10
WBGene00019216,-0.913551653905039,4.13371712807736,21.8923900919185,2.88375242443123e-6,5.24188065197907e-5
WBGene00014375,-0.912696859627115,2.22051241562414,24.192095358555,8.71894018118449e-7,1.8345963678703e-5
WBGene00009753,-0.912529809574208,3.23663425671934,24.3093907335407,8.20381334610931e-7,1.7382305754624e-5
WBGene00014102,-0.912431839409359,3.03161549840479,25.3531444741286,4.77373577238785e-7,1.07467941421972e-5
WBGene00012201,-0.91197318168738,4.7567354529549,50.1699262987768,1.4099212621311599e-12,1.20992459407024e-10
WBGene00019530,-0.911726637123973,3.51642633736088,30.6457849628476,3.0969865691729e-8,9.74482842886301e-7
WBGene00050946,0.911425409881903,0.424813271329742,11.9148846830968,5.5687185089309e-4,0.00514664649500288
WBGene00013033,-0.911078132508379,5.07129915947154,47.8962823410107,4.49372895798679e-12,3.55537081574822e-10
WBGene00012642,-0.910906275931701,2.97073746413962,25.7454209246777,3.89550170644655e-7,9.04171346208514e-6
WBGene00017550,-0.910408536119901,4.26034641833475,37.7483966364538,8.04828419437929e-10,3.7855975914284e-8
WBGene00006562,0.910405212353593,5.83166416951828,20.9085859247577,4.81730530925551e-6,8.29916506235806e-5
WBGene00000608,-0.91035239811053,10.1327425941302,3.09682629124336,0.0784450844155766,0.258571244536594
WBGene00004963,-0.909470364201059,2.94432709296283,32.0440291144347,1.50717619800242e-8,5.08741657463824e-7
WBGene00017281,-0.908473947455756,0.123190486809177,9.38342019460307,0.002189566612325,0.016078161484012
WBGene00019895,-0.90757961393303,8.14799572361666,41.4705648525298,1.19659138724058e-10,6.966696400615371e-9
WBGene00016356,-0.906408467348252,4.09205175817272,34.2254457646805,4.908294769435391e-9,1.87660013007394e-7
WBGene00018983,-0.905853461537195,2.7151676102904,25.8712430366944,3.64965948365787e-7,8.56121922580414e-6
