"","gene","TF","Hits"
"464","21ur-5163","1k-F49E8.2",1
"465","21ur-5163","1k-FKH-10",0
"466","21ur-5163","1k-FOS-1",0
"467","21ur-5163","1k-HLH-30",0
"468","21ur-5163","1k-LIN-13",1
"469","21ur-5163","1k-LIN-15B",0
"470","21ur-5163","1k-LIN-39",0
"471","21ur-5163","1k-LIR-3",1
"472","21ur-5163","1k-LSY-2",2
"473","21ur-5163","1k-MDL-1",3
"474","21ur-5163","1k-MEP-1",2
"475","21ur-5163","1k-NHR-10",0
"476","21ur-5163","1k-NHR-102",1
"477","21ur-5163","1k-NHR-11",0
"478","21ur-5163","1k-NHR-116",0
"479","21ur-5163","1k-NHR-237",0
"480","21ur-5163","1k-NHR-25",0
"481","21ur-5163","1k-NHR-28",3
"482","21ur-5163","1k-NHR-48",1
"483","21ur-5163","1k-NHR-6",0
"484","21ur-5163","1k-NHR-76",0
"485","21ur-5163","1k-NHR-77",0
"486","21ur-5163","1k-PHA-4",0
"487","21ur-5163","1k-PQM-1",0
"488","21ur-5163","1k-R02D3.7",0
"489","21ur-5163","1k-R06F6.6",0
"490","21ur-5163","1k-RBR-2",1
"491","21ur-5163","1k-SKN-1",0
"492","21ur-5163","1k-SNPC-4",1
"493","21ur-5163","1k-SPR-1",1
"494","21ur-5163","1k-UNC-130",1
"495","21ur-5163","1k-UNC-39",0
"496","21ur-5163","1k-UNC-62",0
"497","21ur-5163","1k-ZAG-1",0
"498","21ur-5163","1k-ZFP-2",0
"499","21ur-5163","1k-ZIP-2",1
"500","21ur-5163","1k-ZK546.5",0
"501","21ur-5163","1k-ZTF-11",0
"502","21ur-5163","1k-ZTF-7",1
"503","21ur-5163","400-43252",0
"504","21ur-5163","400-AHA-1",2
"505","21ur-5163","400-C05D10.1",0
"506","21ur-5163","400-CEH-32",0
"507","21ur-5163","400-CEH-38",0
"508","21ur-5163","400-CES-1",0
"509","21ur-5163","400-CEY-2",0
"510","21ur-5163","400-DAF-16",7
"511","21ur-5163","400-DPL-1",1
"512","21ur-5163","400-DUXL-1",0
"513","21ur-5163","400-DVE-1",2
"514","21ur-5163","400-EGL-27",0
"515","21ur-5163","400-F10B5.3",0
"516","21ur-5163","400-F37D6.2",0
"517","21ur-5163","400-F45C12.2",0
"518","21ur-5163","400-F49E8.2",1
"519","21ur-5163","400-FKH-10",0
"520","21ur-5163","400-FOS-1",0
"521","21ur-5163","400-HLH-30",0
"522","21ur-5163","400-LIN-13",1
"523","21ur-5163","400-LIN-15B",0
"524","21ur-5163","400-LIN-39",0
"525","21ur-5163","400-LIR-3",1
"526","21ur-5163","400-LSY-2",2
"527","21ur-5163","400-MDL-1",3
"528","21ur-5163","400-MEP-1",2
"529","21ur-5163","400-NHR-10",0
"530","21ur-5163","400-NHR-102",1
"531","21ur-5163","400-NHR-11",0
"532","21ur-5163","400-NHR-116",0
"533","21ur-5163","400-NHR-237",0
"534","21ur-5163","400-NHR-25",0
"535","21ur-5163","400-NHR-28",3
"536","21ur-5163","400-NHR-48",1
"537","21ur-5163","400-NHR-6",0
"538","21ur-5163","400-NHR-76",0
"539","21ur-5163","400-NHR-77",0
"540","21ur-5163","400-PHA-4",0
"541","21ur-5163","400-PQM-1",0
"542","21ur-5163","400-R02D3.7",0
"543","21ur-5163","400-R06F6.6",0
"544","21ur-5163","400-RBR-2",1
"545","21ur-5163","400-SKN-1",0
"546","21ur-5163","400-SNPC-4",1
"547","21ur-5163","400-SPR-1",1
"548","21ur-5163","400-UNC-130",1
"549","21ur-5163","400-UNC-39",0
"550","21ur-5163","400-UNC-62",0
"551","21ur-5163","400-ZAG-1",0
"552","21ur-5163","400-ZFP-2",0
"553","21ur-5163","400-ZIP-2",1
"554","21ur-5163","400-ZK546.5",0
"555","21ur-5163","400-ZTF-11",0
"556","21ur-5163","400-ZTF-7",1
"557","21ur-5163","Total Instances of TFs binding within 1000",33
"558","21ur-5163","Total Instances of TFs binding within 400bp",33
"559","21ur-5163","Total number of TFs binding within 1000 bp of peak",29
"560","21ur-5163","Total number of TFs bound",29
"561","21ur-8543","1k-43252",0
"562","21ur-8543","1k-AHA-1",0
"563","21ur-8543","1k-C05D10.1",0
"564","21ur-8543","1k-CEH-32",0
"565","21ur-8543","1k-CEH-38",0
"566","21ur-8543","1k-CES-1",0
"567","21ur-8543","1k-CEY-2",0
"568","21ur-8543","1k-DAF-16",0
"569","21ur-8543","1k-DPL-1",0
"570","21ur-8543","1k-DUXL-1",0
"571","21ur-8543","1k-DVE-1",0
"572","21ur-8543","1k-EGL-27",0
"573","21ur-8543","1k-F10B5.3",0
"574","21ur-8543","1k-F37D6.2",0
"575","21ur-8543","1k-F45C12.2",0
"576","21ur-8543","1k-F49E8.2",0
"577","21ur-8543","1k-FKH-10",0
"578","21ur-8543","1k-FOS-1",0
"579","21ur-8543","1k-HLH-30",0
"580","21ur-8543","1k-LIN-13",0
"581","21ur-8543","1k-LIN-15B",0
"582","21ur-8543","1k-LIN-39",0
"583","21ur-8543","1k-LIR-3",0
"584","21ur-8543","1k-LSY-2",0
"585","21ur-8543","1k-MDL-1",0
"586","21ur-8543","1k-MEP-1",0
"587","21ur-8543","1k-NHR-10",0
"588","21ur-8543","1k-NHR-102",0
"589","21ur-8543","1k-NHR-11",0
"590","21ur-8543","1k-NHR-116",0
"591","21ur-8543","1k-NHR-237",0
"592","21ur-8543","1k-NHR-25",0
"593","21ur-8543","1k-NHR-28",0
"594","21ur-8543","1k-NHR-48",0
"595","21ur-8543","1k-NHR-6",0
"596","21ur-8543","1k-NHR-76",0
"597","21ur-8543","1k-NHR-77",0
"598","21ur-8543","1k-PHA-4",0
"599","21ur-8543","1k-PQM-1",0
"600","21ur-8543","1k-R02D3.7",0
"601","21ur-8543","1k-R06F6.6",0
"602","21ur-8543","1k-RBR-2",0
"603","21ur-8543","1k-SKN-1",0
"604","21ur-8543","1k-SNPC-4",0
"605","21ur-8543","1k-SPR-1",0
"606","21ur-8543","1k-UNC-130",0
"607","21ur-8543","1k-UNC-39",0
"608","21ur-8543","1k-UNC-62",0
"609","21ur-8543","1k-ZAG-1",0
"610","21ur-8543","1k-ZFP-2",0
"611","21ur-8543","1k-ZIP-2",0
"612","21ur-8543","1k-ZK546.5",0
"613","21ur-8543","1k-ZTF-11",0
"614","21ur-8543","1k-ZTF-7",0
"615","21ur-8543","400-43252",0
"616","21ur-8543","400-AHA-1",0
"617","21ur-8543","400-C05D10.1",0
"618","21ur-8543","400-CEH-32",0
"619","21ur-8543","400-CEH-38",0
"620","21ur-8543","400-CES-1",0
"621","21ur-8543","400-CEY-2",0
"622","21ur-8543","400-DAF-16",0
"623","21ur-8543","400-DPL-1",0
"624","21ur-8543","400-DUXL-1",0
"625","21ur-8543","400-DVE-1",0
"626","21ur-8543","400-EGL-27",0
"627","21ur-8543","400-F10B5.3",0
"628","21ur-8543","400-F37D6.2",0
"629","21ur-8543","400-F45C12.2",0
"630","21ur-8543","400-F49E8.2",0
"631","21ur-8543","400-FKH-10",0
"632","21ur-8543","400-FOS-1",0
"633","21ur-8543","400-HLH-30",0
"634","21ur-8543","400-LIN-13",0
"635","21ur-8543","400-LIN-15B",0
"636","21ur-8543","400-LIN-39",0
"637","21ur-8543","400-LIR-3",0
"638","21ur-8543","400-LSY-2",0
"639","21ur-8543","400-MDL-1",0
"640","21ur-8543","400-MEP-1",0
"641","21ur-8543","400-NHR-10",0
"642","21ur-8543","400-NHR-102",0
"643","21ur-8543","400-NHR-11",0
"644","21ur-8543","400-NHR-116",0
"645","21ur-8543","400-NHR-237",0
"646","21ur-8543","400-NHR-25",0
"647","21ur-8543","400-NHR-28",0
"648","21ur-8543","400-NHR-48",0
