"","logFC","logCPM","LR","PValue","FDR"
"WBGene00018707",2.27429836706148,1.52599805826217,81.2252612263813,2.01401038307693e-19,2.01217278236244e-17
"WBGene00012055",-2.27154796785505,-3.35241540696265,7.8281015170124,0.00514401011840425,0.0357132328154492
"WBGene00013830",-2.2685285178863,-0.885197651882792,58.3030257167871,2.24698242445608e-14,1.59355294998666e-12
"WBGene00008793",-2.26842679302964,3.75118978168542,85.4347836333095,2.39470828970963e-20,2.52135151656927e-18
"WBGene00010413",-2.26757987141791,-2.54203869211891,13.2499435708633,0.000272588075326096,0.00356867458730363
"WBGene00017469",2.267526111441,-3.1313905946419,13.707587877734,0.00021358977888173,0.00293672536257527
"WBGene00003957",2.26721645797508,6.50929470589196,127.629115763853,1.35305750629681e-29,2.24484540817426e-27
"WBGene00016457",2.26632672747175,-0.487653429228591,21.9858643709307,2.7466595300837e-06,6.7922136075918e-05
"WBGene00015933",2.26585483791441,6.62159595971634,165.90283988957,5.80884464318497e-38,1.38275758354077e-35
"WBGene00023499",-2.26518679700506,-3.56698413322323,7.58443809726489,0.00588743123643567,0.0396185914693772
"WBGene00011004",-2.26388599001493,0.897860999530095,40.2832266103946,2.19687049667903e-10,1.05693022577484e-08
"WBGene00005439",-2.26263762265085,-3.91689935759376,2.38520918292162,0.12248849545283,0.333061169152298
"WBGene00220129",2.25289718743924,-2.3837686175303,13.9749906054872,0.000185258571641679,0.00260207973252486
"WBGene00045291",2.25193154500978,-0.997433912504378,15.1802045072495,9.77225029511315e-05,0.00152604307945649
"WBGene00219308",-2.25135076879256,-2.43717754828884,9.64278335157396,0.00190096961666435,0.0167005915456311
"WBGene00015589",2.24857691557181,-2.00769494778199,16.7631502592115,4.23477489604355e-05,0.000744553389718639
"WBGene00014800",-2.24810050840213,-3.96309064494244,2.66274607453957,0.10272325028242,0.302694003369235
"WBGene00020594",-2.24718385842095,-1.50063625088181,14.9802527225183,0.000108642149346241,0.00167160045944858
"WBGene00173560",-2.24395558370287,-3.98841239183247,2.51651550144407,0.112659280006459,0.320520452107339
"WBGene00010016",-2.24357560214014,-1.61502144549308,13.0123939608765,0.000309436098743029,0.00396388076887713
"WBGene00005227",-2.24173959058377,-0.961562506283126,15.6569223464042,7.59341279628805e-05,0.00122854418025051
"WBGene00009856",-2.24075125530957,-0.965559629616783,41.1474685670847,1.4116597034905e-10,7.10371036453168e-09
"WBGene00077757",-2.23792927155103,3.30652518052132,116.965918689616,2.92043179353184e-27,4.46630281273376e-25
